  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
109	       -829.321	           0.0515464	       389.4	         -837.277	            -1677.25	            -841.244	            -1686.26	            -837.297	            -1677.26	            -1678.28	             8.35403	            -2.26328
110	       -829.014	            0.075643	      255.04	         -837.315	             -1677.4	            -841.075	            -1685.92	            -837.338	            -1677.42	            -1678.34	              8.0802	             -2.3663
111	       -828.754	           0.0353857	      566.21	         -837.339	            -1677.54	            -840.906	            -1685.58	            -837.368	            -1677.56	            -1678.38	             7.80597	            -2.49431
112	       -828.444	           0.0701262	       279.1	          -837.35	            -1677.65	            -840.735	            -1685.23	            -837.385	            -1677.68	             -1678.4	             7.52985	            -2.63806
113	        -828.27	            0.070922	      280.16	         -837.404	             -1677.8	            -840.568	            -1684.89	            -837.447	            -1677.84	             -1678.5	              7.2577	            -2.72742
114	       -828.096	           0.0338753	      580.95	          -837.38	            -1677.83	            -840.415	            -1684.58	             -837.43	            -1677.87	            -1678.44	             6.99954	            -2.86209
115	       -827.895	           0.0480769	      410.51	         -837.347	            -1677.83	            -840.271	            -1684.29	            -837.402	            -1677.89	            -1678.37	              6.7508	            -3.01993
116	       -827.711	            0.074184	      260.71	          -837.29	            -1677.73	            -840.137	            -1684.02	             -837.35	            -1677.79	            -1678.25	             6.51077	            -3.05289
117	       -827.487	            0.059453	      326.56	         -837.337	            -1677.87	            -840.006	            -1683.76	            -837.409	            -1677.94	            -1678.34	             6.27469	            -3.15986
118	       -827.304	           0.0517598	      375.61	          -837.35	            -1677.94	            -839.877	            -1683.49	            -837.433	            -1678.04	            -1678.36	             6.04056	            -3.29849
119	       -827.157	           0.0249377	      797.16	         -837.255	            -1677.74	            -839.757	            -1683.25	             -837.34	            -1677.83	            -1678.16	             5.90513	             -3.2738
120	        -826.97	           0.0429185	      444.47	         -837.269	            -1677.81	            -839.645	            -1683.02	            -837.367	            -1677.93	            -1678.18	             5.68761	            -3.42118
121	       -826.812	           0.0329381	      585.35	         -837.261	            -1677.84	            -839.537	             -1682.8	             -837.37	            -1677.97	            -1678.16	             5.47407	            -3.56954
122	       -826.643	           0.0431034	      441.18	         -837.293	            -1677.94	            -839.433	            -1682.59	            -837.418	             -1678.1	            -1678.22	             5.26575	             -3.7071
123	       -826.492	           0.0302115	      639.39	         -837.271	            -1677.93	            -839.335	            -1682.39	            -837.406	            -1678.12	            -1678.17	             5.06196	            -3.89523
124	        -826.36	           0.0404531	      472.25	         -837.303	            -1678.02	            -839.242	             -1682.2	            -837.458	            -1678.24	            -1678.23	             4.86378	            -4.03762
125	       -826.199	           0.0246914	      792.73	         -837.313	            -1678.07	            -839.153	            -1682.02	            -837.486	            -1678.32	            -1678.25	             4.67024	            -4.20271
126	       -826.033	           0.0217486	      887.28	          -837.33	            -1678.12	            -839.067	            -1681.85	            -837.523	            -1678.41	            -1678.28	               4.479	            -4.34467
127	       -825.905	           0.0316456	      618.85	         -837.213	             -1677.8	            -838.985	            -1681.68	              -837.4	            -1678.05	            -1678.03	             5.18259	            -3.88331
128	       -825.782	            0.020475	      936.43	         -837.221	            -1677.84	            -838.907	            -1681.52	            -837.425	            -1678.12	            -1678.05	              4.9999	            -4.03213
129	       -825.642	           0.0198886	      972.89	         -837.218	            -1677.86	            -838.834	            -1681.37	             -837.44	            -1678.18	            -1678.04	             4.82177	            -4.20798
130	       -825.531	           0.0162285	      1206.3	         -837.229	            -1677.91	            -838.764	            -1681.23	            -837.471	            -1678.26	            -1678.05	             4.64663	            -4.38746
131	       -825.369	           0.0179662	     1068.06	         -837.128	            -1677.55	            -838.697	            -1681.09	            -837.361	            -1677.84	            -1677.84	             5.24161	            -3.64557
132	       -825.236	           0.0162127	     1206.21	         -837.149	            -1677.63	            -838.632	            -1680.96	            -837.406	            -1677.96	            -1677.88	               5.071	            -3.80563
133	       -825.085	           0.0269397	      711.87	         -837.146	            -1677.65	            -838.568	            -1680.82	            -837.422	            -1678.01	            -1677.88	             4.90172	            -3.92011
134	       -824.938	           0.0184638	     1044.38	          -837.16	            -1677.71	            -838.504	            -1680.69	            -837.462	            -1678.12	             -1677.9	             4.73308	            -4.08518
135	       -824.784	          0.00976753	     1984.03	         -837.174	            -1677.76	            -838.442	            -1680.56	            -837.504	            -1678.23	            -1677.93	             4.56594	              -4.257
136	       -824.667	           0.0128932	     1497.13	         -837.184	            -1677.81	            -838.382	            -1680.44	            -837.543	            -1678.33	            -1677.95	             4.40075	            -4.42292
137	       -824.549	           0.0145222	     1334.11	         -837.201	            -1677.86	            -838.325	            -1680.32	            -837.594	            -1678.45	            -1677.98	             4.23829	            -4.57611
138	       -824.433	          0.00847027	     2260.48	         -837.219	            -1677.91	            -838.269	            -1680.21	             -837.65	            -1678.57	            -1678.02	             4.07786	            -4.74497
